Emails,Business ID,Cuisine,Business Name,Instagram Shared? ,First set of posts ,Approval?,Notes,Website ,Social Media LInk,# of Followers,MP Weekly Avg,SF Weekly Avg
julianlosocampo@gmail.com,16914,"healthy,guacamole,chips_and_salsa,steak,pollo_la_brasa,chicken_shop,al_pastor,carne_asada,enchiladas,tacos,burritos,quesadillas,bars,mexican",Los Ocampos,No ,,,,http://losocampo.com/,https://www.instagram.com/losocamporestaurants/,2840,960.8,190.9
lisandro@glenteamre.com,14600429,"burritos,mexican,tacos",La Cocina,Yes ,,,"1. Lunch special 11-2 
Lunch Pork or chicken with rice and free soda 
Starting at 9.99 
2. St Patty's 
3. Menu item highlight Mofongo ",https://www.lacocinaeats.com/,https://www.instagram.com/lacocina_nj/?hl=en,8598,231,9.1
art4foodinc@gmail.com,9186,"dineout-new,burgers,fast_casual,fast_food,fried_chicken,comfort_food,american",Burger Bun,Yes ,"1. National Chips Day 
2. 10AM -11AM Early Bird special in person only or for phone pickup 15% off everything  
3. March Madness (March 1) ",Pending,"1. March Madness 
2. 10AM -11AM Early Bird special in person only or for phone pickup 15% off everything  
3. 8 PM - 10 PM Happy Hour TBD ",burgerbun.la,https://www.instagram.com/burgerbunla/,2422,283.9,4.1
mastoory@tasteofchelo.com,547263,"mediterranean,middle_east",Chelo,,,,,www.tasteofchelo.com,https://www.instagram.com/tasteofchelo/,7391,24.2,0.3
sumoramen88@gmail.com,142325,"fast_food,comfort_food,japanese",Sumo Ramen Market City,,,,,https://www.sumoramen.com/,https://www.instagram.com/sumoramenmarketcity/,88,157,1
admin@falafelcorner.us,1386,"fast_food,mediterranean,middle_eastern",Falafel Corner,Yes,"1. National Tortilla Chips (Feb 24) 
2. Iftar Ready (thursday) 
3. Game Night (sac kings mar 1) ",Yes,,fcorner.com,https://www.instagram.com/falafelcornerdowntown/?hl=en,445,1806,129.1
teejayescountryplace@gmail.com,26715,"comfort_food,miami_deli,soup,salads,sandwich",Tee Jayes Country Place,They will post ,,,,https://teejayes.com/,https://www.instagram.com/teejayescountryplace/,1035,951.2,70.9
tionachonyc@outlook.com,69204,"sandwiches,dessert_and_fast-food,smoothies,breakfast,mexican",Tio Nacho,,,,,https://www.tionachonyc.com/,https://www.instagram.com/tionacho_nyc/?hl=en,207,105.5,5.6
nthepmanee@thaicortez.com,11744651,"casual_dining,thai",Thai Cortez,,,,,https://thaicortez.com/,https://www.instagram.com/thai.cortez/,64,41.2,40.7
sigmabid@gmail.com,12917793,"fast_food,halal",Halal Express,,,,,https://halalexpressfood.com/,https://www.instagram.com/halalexpressnj/,1281,337,13.3
"323hibachigrill@gmail.com,  ruben.gallegos97@gmail.com",11350087,"salmon,burgers,bars,hibachi,japanese",323 Hibachi Grill,,,,,https://323hibachigrill.wixsite.com/323hibachigrill?utm_source=ig&utm_medium=social&utm_content=link_in_bio&fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAGnSm6yK2mDFMvcd5wp0_y6dTq1l7lTtcJOCeqW_ioGVtAA2wiq1ltLM3MFEZ4_aem_RG0LPui8zEbM50Tzm2NjkA,https://www.instagram.com/323hibachigrill/,15800,286.5,13.6
contact@tetsujinsushi.com,156638,"vegetarian,fast_casual,cheesesteaks,sandwiches,shrimp,chicken_shop,chicken_wings,wings,seafood_restaurant,american",Kaisen Don (Balboa St) | Kaisen Don N,,,,,N/A,https://www.instagram.com/kaisendon1939/,15700,272,153.7
jaliscoscateringservices@gmail.com,13986555,"seafood_restaurant,casual_dining,mexican",Jalisco Restaurant Authentic Mexican Food,NO SHOW,,,,N/A,https://www.instagram.com/jaliscoscatering/,66,100.7,0.8
